closetCleaner Report:
=====================

                     Name |      Count |             Location | Jobs Used                                                                                |                                                    Long Name
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         Aurgelmir Orb +1 |          0 |           Wardrobe 6 |                                                                                          |                                             Aurgelmir orb +1
           Fanatic Gloves |          0 |           Wardrobe 7 |                                                                                          |                                               fanatic gloves
                   Takoba |          0 |                 Safe |                                                                                          |                                                       Takoba
             Shukuyu Ring |          0 |           Wardrobe 5 |                                                                                          |                                                 shukuyu ring
         Mache Earring +1 |          0 | Wardrobe 5, Wardrobe 8 |                                                                                          |                                             mache earring +1
        Ayanmo Corazza +2 |          0 |             Wardrobe |                                                                                          |                                            ayanmo corazza +2
        Rudianos's Mantle |          0 |           Wardrobe 6 |                                                                                          |                                            Rudianos's mantle
                Ephemeron |          0 |               Safe 2 |                                                                                          |                                                    ephemeron
              Gjallarhorn |          0 |           Wardrobe 4 |                                                                                          |                                                  Gjallarhorn
         Mnbw. Whistle +1 |          0 |           Wardrobe 8 |                                                                                          |                                           moonbow whistle +1
                Kunimitsu |          0 |           Wardrobe 8 |                                                                                          |                                                    Kunimitsu
          Empath Necklace |          0 |           Wardrobe 3 |                                                                                          |                                              empath necklace
         Svelt. Gouriz +1 |          0 |           Wardrobe 5 |                                                                                          |                                          sveltesse gouriz +1
         Thureous Earring |          0 |             Wardrobe |                                                                                          |                                             thureous earring
             Eschan Stone |          0 |             Wardrobe |                                                                                          |                                                 eschan stone
             Pet Poultice |          0 |                 Sack |                                                                                          |                                                 pet poultice
           Hauksbok Arrow |          0 |                 Sack |                                                                                          |                                               Hauksbok arrow
            Eminent Arrow |          0 |            Inventory |                                                                                          |                                                eminent arrow
              Archon Ring |          0 |           Wardrobe 5 |                                                                                          |                                                  archon ring
           Yorium Cuisses |          0 |                 Safe |                                                                                          |                                               yorium cuisses
              Suppanomimi |          0 |           Wardrobe 3 |                                                                                          |                                                  suppanomimi
        Karagoz Guanti +2 |          0 |               Locker |                                                                                          |                                            karagoz guanti +2
       Scintillating Cape |          0 |                 Safe |                                                                                          |                                           scintillating cape
              Reiki Yotai |          0 |           Wardrobe 3 |                                                                                          |                                                  reiki yotai
       Smertrios's Mantle |          0 |           Wardrobe 6 |                                                                                          |                                           Smertrios's mantle
          Aoidos' Matinee |          0 |           Wardrobe 5 |                                                                                          |                                              aoidos' matinee
                Semainier |          0 |                 Safe |                                                                                          |                                                    semainier
         Kas. Sune-Ate +2 |          0 |           Wardrobe 8 |                                                                                          |                                           kasuga sune-ate +2
       Flam. Gambieras +2 |          0 |           Wardrobe 3 |                                                                                          |                                          flamma gambieras +2
       Tartarus Platemail |          0 |           Wardrobe 6 |                                                                                          |                                           tartarus platemail
         Overbearing Ring |          0 |           Wardrobe 4 |                                                                                          |                                             overbearing ring
          Abdhaljs Thread |          0 |               Locker |                                                                                          |                                     spool of Abdhaljs thread
                   Aettir |          0 |               Locker |                                                                                          |                                                       Aettir
         Wakido Kabuto +1 |          0 |            Inventory |                                                                                          |                                             wakido kabuto +1
        Wakido Haidate +3 |          0 |           Wardrobe 7 |                                                                                          |                                            wakido haidate +3
        Obviation Cuirass |          0 |               Locker |                                                                                          |                                            obviation cuirass
              Reiki Cloak |          0 |           Wardrobe 6 |                                                                                          |                                                  reiki cloak
       Sakonji Haidate +3 |          0 |           Wardrobe 3 |                                                                                          |                                           sakonji haidate +3
                   Ea Hat |          0 |           Wardrobe 6 |                                                                                          |                                                       Ea hat
           Halasz Earring |          0 |           Wardrobe 5 |                                                                                          |                                               halasz earring
            Mephitis Grip |          0 |              Satchel |                                                                                          |                                                mephitis grip
          Assuage Earring |          0 |              Satchel |                                                                                          |                                              assuage earring
       Annoint. Kalasiris |          0 |                 Case |                                                                                          |                                          annointed kalasiris
          Cohort Cloak +1 |          0 |           Wardrobe 3 |                                                                                          |                                              cohort cloak +1
                 Naegling |          0 |           Wardrobe 2 |                                                                                          |                                                     Naegling
          Nyame Flanchard |          0 |           Wardrobe 2 |                                                                                          |                                              Nyame flanchard
            Valorous Hose |          0 | Wardrobe 6, Wardrobe 7 |                                                                                          |                                                valorous hose
        Sanctity Necklace |          0 |           Wardrobe 3 |                                                                                          |                                            sanctity necklace
            Baayami Slops |          0 |           Wardrobe 6 |                                                                                          |                                                Baayami slops
                Carbonara |          0 |            Inventory |                                                                                          |                                  dish of spaghetti carbonara
           Sabong Earring |          0 |           Wardrobe 5 |                                                                                          |                                               sabong earring
             Mpaca's Hose |          0 |           Wardrobe 6 |                                                                                          |                                                 Mpaca's hose
        Inyanga Jubbah +2 |          0 |           Wardrobe 8 |                                                                                          |                                            Inyanga jubbah +2
       Pitre Babouches +3 |          0 |           Wardrobe 7 |                                                                                          |                                           pitre babouches +3
          Gleti's Cuirass |          0 |            Inventory |                                                                                          |                                              Gleti's cuirass
        Lu Shang's F. Rod |          0 |               Locker |                                                                                          |                                       Lu Shang's fishing rod
            Twilight Mail |          0 |           Wardrobe 8 |                                                                                          |                                                Twilight mail
                Hike Khat |          0 |           Wardrobe 7 |                                                                                          |                                                    hike khat
         Thereoid Greaves |          0 |           Wardrobe 6 |                                                                                          |                                             thereoid greaves
          Rimeice Earring |          0 |           Wardrobe 4 |                                                                                          |                                              rimeice earring
           Behem. Leather |          0 |              Satchel |                                                                                          |                                   square of behemoth leather
         Rep. Plat. Medal |          0 |               Locker |                                                                                          |                                    republican platinum medal
             Epona's Ring |          0 |           Wardrobe 3 |                                                                                          |                                                 Epona's ring
         Floral Gauntlets |          0 |                 Sack |                                                                                          |                                             floral gauntlets
                Grioavolr |          0 |           Wardrobe 2 |                                                                                          |                                                    Grioavolr
              Helios Band |          0 |           Wardrobe 3 |                                                                                          |                                                  helios band
               Rahab Ring |          0 |           Wardrobe 4 |                                                                                          |                                                   rahab ring
            Sarama's Hide |          0 |               Locker |                                                                                          |                                                Sarama's hide
          Moonbeam Nodowa |          0 |           Wardrobe 5 |                                                                                          |                                              moonbeam nodowa
        Crystal Petrifact |          0 |        Satchel, Case |                                                                                          |                                            crystal petrifact
              Vivid Strap |          0 |           Wardrobe 2 |                                                                                          |                                                  vivid strap
           Mendi. Earring |          0 |           Wardrobe 4 |                                                                                          |                                          mendicant's earring
          Voluspa Tathlum |          0 |              Satchel |                                                                                          |                                              Voluspa tathlum
       Loricate Torque +1 |          0 |           Wardrobe 5 |                                                                                          |                                           loricate torque +1
         Mummu Gamash. +2 |          0 |           Wardrobe 8 |                                                                                          |                                            Mummu gamashes +2
             Tali'ah Ring |          0 |           Wardrobe 4 |                                                                                          |                                                 tali'ah ring
             Amar Cluster |          0 |           Wardrobe 5 |                                                                                          |                                                 amar cluster
                Ukko Sash |          0 |           Wardrobe 3 |                                                                                          |                                                    Ukko sash
            Lucidity Sash |          0 |           Wardrobe 4 |                                                                                          |                                                lucidity sash
        Mallquis Cuffs +2 |          0 |                 Safe |                                                                                          |                                            mallquis cuffs +2
       Brioso Slippers +2 |          0 |           Wardrobe 8 |                                                                                          |                                           brioso slippers +2
       Carmine Cuisses +1 |          0 |           Wardrobe 3 |                                                                                          |                                           carmine cuisses +1
               Molybdosis |          0 |           Wardrobe 2 |                                                                                          |                                                   Molybdosis
         Hervor Brayettes |          0 |               Safe 2 |                                                                                          |                                             Hervor brayettes
              Bolelabunga |          0 |           Wardrobe 2 |                                                                                          |                                                  Bolelabunga
               Embla Sash |          0 |                 Sack |                                                                                          |                                                   Embla sash
         Gleti's Crossbow |          0 |                 Sack |                                                                                          |                                             Gleti's crossbow
          Fili Earring +1 |          0 |                 Case |                                                                                          |                                              fili earring +1
        Andartia's Mantle |          0 |           Wardrobe 6 |                                                                                          |                                            Andartia's mantle
         Incarnation Sash |          0 |           Wardrobe 3 |                                                                                          |                                             incarnation sash
                    Aegis |          0 |           Wardrobe 2 |                                                                                          |                                                        Aegis
          Maze Tabula R01 |          0 |                 Sack |                                                                                          |                                              Maze Tabula R01
     Blistering Sallet +1 |          0 |           Wardrobe 7 |                                                                                          |                                         blistering sallet +1
         Ankusa Gloves +3 |          0 |                 Safe |                                                                                          |                                             ankusa gloves +3
        Cacoethic Ring +1 |          0 |            Inventory |                                                                                          |                                            cacoethic ring +1
                    Ohtas |          0 |           Wardrobe 4 |                                                                                          |                                                        Ohtas
                   Lament |          0 |              Satchel |                                                                                          |                                                       Lament
        Blenmot's Ring +1 |          0 |           Wardrobe 3 |                                                                                          |                                            Blenmot's ring +1
          Mummu Bonnet +2 |          0 |           Wardrobe 8 |                                                                                          |                                              Mummu bonnet +2
          Mercurial Sword |          0 |              Satchel |                                                                                          |                                              mercurial sword
             Fili Earring |          0 |                 Safe |                                                                                          |                                                 fili earring
             Weard Mantle |          0 |           Wardrobe 6 |                                                                                          |                                                 weard mantle
                  Marsyas |          0 |           Wardrobe 4 |                                                                                          |                                                      Marsyas
          Karagoz Earring |          0 |           Wardrobe 2 |                                                                                          |                                              karagoz earring
           Ea Houppelande |          0 |           Wardrobe 6 |                                                                                          |                                               Ea houppelande
           Navon Crackows |          0 |               Safe 2 |                                                                                          |                                               navon crackows
       A. Voucher: Weapon |          0 |               Locker |                                                                                          |                                    Ambuscade voucher: weapon
                     Kali |          0 | Wardrobe 2, Wardrobe 2 |                                                                                          |                                                         kali
       Herculean Trousers |          0 | Satchel, Sack, Safe 2, Wardrobe 6, Wardrobe 6, Wardrobe 7 |                                                                                          |                                           herculean trousers
             Agwu's Slops |          0 |           Wardrobe 8 |                                                                                          |                                                 Agwu's slops
         Hepatizon Axe +1 |          0 |               Locker |                                                                                          |                                             hepatizon axe +1
         Osh. Trousers +1 |          0 |            Inventory |                                                                                          |                                           Oshosi trousers +1
          Rheic Salade +2 |          0 |               Locker |                                                                                          |                                              rheic salade +2
        Handler's Earring |          0 |           Wardrobe 3 |                                                                                          |                                            handler's earring
          Sakpata's Plate |          0 |           Wardrobe 7 |                                                                                          |                                        Sakpata's breastplate
       Malignance Chapeau |          0 |             Wardrobe |                                                                                          |                                           malignance chapeau
          Nzingha Cuirass |          0 |                 Safe |                                                                                          |                                              nzingha cuirass
           Jhakri Robe +2 |          0 |           Wardrobe 8 |                                                                                          |                                               jhakri robe +2
       Beckoner's Horn +1 |          0 |           Wardrobe 3 |                                                                                          |                                           beckoner's horn +1
               Rao Kabuto |          0 |               Safe 2 |                                                                                          |                                                   rao kabuto
           Incantor Stone |          0 |             Wardrobe |                                                                                          |                                               incantor stone
            Dynamis Blade |          0 |                 Safe |                                                                                          |                                                Dynamis blade
       Etiolation Earring |          0 |           Wardrobe 5 |                                                                                          |                                           etiolation earring
         Shepherd's Chain |          0 |           Wardrobe 4 |                                                                                          |                                             shepherd's chain
             Kurys Gloves |          0 |               Locker |                                                                                          |                                                 kurys gloves
         Goldsmith's Ring |          0 |             Wardrobe |                                                                                          |                                             goldsmith's ring
            Hetairoi Ring |          0 |           Wardrobe 4 |                                                                                          |                                                hetairoi ring
      Skulker's Bonnet +2 |          0 |           Wardrobe 2 |                                                                                          |                                          skulker's bonnet +2
               Regal Ring |          0 |           Wardrobe 5 |                                                                                          |                                                   regal ring
        Adhemar Wrist. +1 |          0 |           Wardrobe 7 |                                                                                          |                                        adhemar wristbands +1
          Paguroidea Ring |          0 |           Wardrobe 4 |                                                                                          |                                              paguroidea ring
        Hypaspist Earring |          0 |           Wardrobe 5 |                                                                                          |                                            hypaspist earring
         Lethargy Earring |          0 |                 Sack |                                                                                          |                                             lethargy earring
       Sakpata's Leggings |          0 |           Wardrobe 7 |                                                                                          |                                           Sakpata's leggings
        Sakonji Domaru +3 |          0 |           Wardrobe 7 |                                                                                          |                                            sakonji domaru +3
           Emicho Haubert |          0 |                 Case |                                                                                          |                                               emicho haubert
              Shadow Ring |          0 |           Wardrobe 5 |                                                                                          |                                                  shadow ring
                    Shijo |          0 |                 Safe |                                                                                          |                                                        shijo
             Helios Boots |          0 |           Wardrobe 7 |                                                                                          |                                                 helios boots
         Kentarch Belt +1 |          0 |           Wardrobe 3 |                                                                                          |                                             kentarch belt +1
      Skulk. Poulaines +1 |          0 |             Wardrobe |                                                                                          |                                       skulker's poulaines +1
         Knightly Earring |          0 |           Wardrobe 3 |                                                                                          |                                             knightly earring
              Naji's Loop |          0 |           Wardrobe 4 |                                                                                          |                                                  Naji's loop
              Machaera +2 |          0 |           Wardrobe 2 |                                                                                          |                                                  machaera +2
          Sakpata's Sword |          0 |           Wardrobe 2 |                                                                                          |                                              Sakpata's sword
      Nefarious Collar +1 |          0 |            Inventory |                                                                                          |                                          nefarious collar +1
         Intarabus's Cape |          0 |           Wardrobe 6 |                                                                                          |                                             Intarabus's cape
                 Borealis |          0 |               Locker |                                                                                          |                                                     borealis
         Plun. Armlets +2 |          0 |           Wardrobe 8 |                                                                                          |                                       plunderer's armlets +2
            Elan Strap +1 |          0 |           Wardrobe 2 |                                                                                          |                                                elan strap +1
             Bean Daifuku |          0 |         Safe, Locker |                                                                                          |                                                 bean daifuku
        Moonshade Earring |          0 |             Wardrobe |                                                                                          |                                            moonshade earring
             Fotia Gorget |          0 |           Wardrobe 4 |                                                                                          |                                                 fotia gorget
            Light Cluster |          0 |                 Case |                                                                                          |                                                light cluster
            Genmei Shield |          0 |           Wardrobe 2 |                                                                                          |                                                genmei shield
              Denouements |          0 |                 Safe |                                                                                          |                                                  Denouements
               Condemners |          0 |           Wardrobe 4 |                                                                                          |                                                   Condemners
         Imbodla Necklace |          0 |           Wardrobe 4 |                                                                                          |                                             imbodla necklace
            Gavialis Helm |          0 |           Wardrobe 7 |                                                                                          |                                                gavialis helm
       Fall. Flanchard +3 |          0 |           Wardrobe 6 |                                                                                          |                                        fallen's flanchard +3
         Animator P II +1 |          0 |           Wardrobe 8 |                                                                                          |                                             animator P II +1
